data,hora_inicio,hora_termino,numero_os,numero_op,qtde_op,cod_parada,parada,cod_operador,cod_produto_maquina,servico_maquina,total_minutos
01/03/2023,17:38:00,18:00:00,107409,18986,180,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,159,5461,PRE-TESTE,22
01/03/2023,17:36:00,17:45:00,7931,2027,10,19,REGISTRO DO APONTAMENTO NO SISTEMA,200,7512,FINALIZAÇÃO DE PRODUTO,9
01/03/2023,17:12:00,17:40:00,108345,19212,100,3,TROCA DE O.S.,202,7228,SEPARACAO,28
01/03/2023,17:10:00,17:25:00,107433,19695,30,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,115,6258,MECÂNICA,15
01/03/2023,17:05:00,17:15:00,0,0,0,2,NECESSIDADES OU ASSUNTOS PESSOAIS,133,3,TEMPO OCIOSO (SEM ATIVIDADE),10
01/03/2023,17:00:00,17:07:00,107483,19666,20,2,NECESSIDADES OU ASSUNTOS PESSOAIS,73,6036,PRE-PRODUCAO,7
01/03/2023,17:00:00,18:00:00,107463,19671,11,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,161,6029,PRE-TESTE,60
01/03/2023,16:58:00,17:05:00,107359,18921,41,19,REGISTRO DO APONTAMENTO NO SISTEMA,133,5714,PRODUÇÃO,7
01/03/2023,16:56:00,16:58:00,107357,19774,9,19,REGISTRO DO APONTAMENTO NO SISTEMA,198,6735,PRODUÇÃO,2
01/03/2023,16:50:00,17:45:00,107403,19311,85,3,TROCA DE O.S.,199,6975,FINALIZAÇÃO DE PRODUTO,55
01/03/2023,16:50:00,18:00:00,17274,4598,7,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,106,5545,TESTE,70
01/03/2023,16:50:00,17:25:00,0,0,0,14,RESOL. DE PROBLEMAS EM O.P. - DEFEITO INTERNO,93,2,EMBALAGEM,35
01/03/2023,16:48:00,17:55:00,108167,18931,19,3,TROCA DE O.S.,121,6243,PRE-PRODUCAO,67
